In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2020-02-08 19:39:00,2020-02-09 07:03:00,11:24,9:38,1:46,--,6:07,15,71,--,--
2020-02-09 20:15:00,2020-02-10 05:00:00,8:45,7:52,53,--,5:21,1:31,63,--,--
2020-02-10 21:16:00,2020-02-11 03:15:00,5:59,5:01,58,--,3:11,47,68,--,--
2020-02-11 20:30:00,2020-02-12 07:01:00,10:31,9:48,43,--,5:44,1:00,63,--,--
2020-02-12 20:30:00,2020-02-13 06:41:00,10:11,10:06,5,--,7:17,1:30,63,--,--
2020-02-13 21:03:00,2020-02-14 05:01:00,7:58,7:50,8,--,5:33,1:34,61,--,--
2020-02-14 21:53:00,2020-02-15 04:49:00,7:43,7:43,0,--,5:37,1:15,67,--,--
2020-02-16 04:45:00,2020-02-16 08:13:00,4:12,3:48,24,--,2:52,18,60,--,--
2020-02-16 22:45:00,2020-02-17 03:17:00,4:32,4:32,0,--,2:48,15,73,--,--
2020-02-17 21:30:00,2020-02-18 05:00:00,7:30,7:06,24,--,5:02,1:46,64,--,--
2020-02-18 21:31:00,2020-02-19 06:14:00,8:43,8:41,2,--,5:50,2:02,63,--,--
2020-02-19 22:31:00,2020-02-20 06:43:00,8:12,7:41,31,--,5:36,1:14,64,--,--
2020-02-20 22:50:00,2020-02-21 07:42:00,8:52,8:52,0,--,6:29,1:46,60,--,--
2020-02-21 22:15:00,2020-02-22 08:33:00,10:18,9:01,1:17,--,6:27,1:48,57,--,--
2020-02-22 21:02:00,2020-02-23 05:21:00,8:19,7:56,23,--,5:12,1:47,65,--,--
2020-02-23 21:31:00,2020-02-24 04:57:00,7:26,7:17,9,--,5:00,1:33,63,--,--
2020-02-24 21:30:00,2020-02-25 07:03:00,9:33,9:15,18,--,6:51,2:49,62,--,--
2020-02-25 23:15:00,2020-02-26 05:24:00,6:09,6:01,8,--,4:24,2:05,70,--,--
2020-02-27 00:30:00,2020-02-27 06:31:00,6:01,5:58,3,--,4:31,1:48,68,--,--
2020-02-27 22:00:00,2020-02-28 05:29:00,8:26,8:08,18,--,5:28,1:14,69,--,--
2020-02-28 22:15:00,2020-02-29 05:39:00,7:24,6:48,36,--,4:56,1:34,64,--,--
2020-02-29 23:13:00,2020-03-01 06:06:00,6:53,6:34,19,--,4:56,2:21,64,--,--
